,username,tweet,likes_count,label
123,bimergen,"ТВИТТЭРТ ТЭНЭГ ХҮН АЛГА, ТВ ЭЭР Ч ТЭНЭГ ХҮН АЛГА. ТЭНЭГ ХҮН ХААГУУР БАЙНАА.",0,1
233,baysaaamaraa,@ist111110 мээдкүүм даа. Шорооноос салж ядаж бхад ингээд бхаар хэцүүмаа. Ядаж асгад эндүүдэд шүүрдээд авчиж болдогүй юм бх даа.,0,1
400,suvderdened,Шороон царайлсан хогийн өдөр вэ... #заримнэгхүмүүсийгүзэняджина😡😡😡😡😡😡😡😡😡 (@ Sweet Home)  https://www.swarmapp.com/suvderdened/checkin/554f3713498e244b6449f1d4?s=OUhxm6D4QmUzWze4pxJKugv2Abs&ref=tw …,0,1
627,shinebayar89,Darga nertei hulgaich naraa ard tvmen nohoi shig vhej bna.alaae hayatsan hvnii tsogtsos saya achaad yavj bna.Arai heterlee sh dee uls oron,0,1
655,mmaralaa,🙈🙉🙊 Балай юм...😂 pic.twitter.com/ITV9w0Hy70,0,1
679,demberel_s,@Tsogtbaatar0927 teneg min chamd ylaltiin bayraar block beleglexeesdee...,1,1
955,shinebayar89,@OtgonbayarY Ed odoo ard irgedee uursd shigee bayan gej biddimuu haashaa yun ral talh 50 geam tosni yug ni hemne geed bgaan hulgaich nar,0,1
1228,badammuugii,"Хязгааргүй мессэж багцыг идэвхжүүлэхийн тулд Сhat900, Сhat1900, Сhat2900 гэж бичээд 212 дугаарт илгээгээрэй.  http://www.ikon.mn/n/gl2 ",0,1
1288,erka_ebe,Yg hulgaich nohoi shig ymarch behelgee hiihgui avaad zugtlaa pic.twitter.com/ihExr1EeG4,0,1
1372,demberel_s,@bMyagmardorj teneg um yrix um xocroo l biz ene ner xunded yma xamaa bna,1,1
1495,5351eb533bac422,5Толгойг Тан Дэн Ли нарын үр хүүхэд эрлийз хурлийзууд MGL ын АТний болон үр хойч баялагыг луйвардахаар л үзэж бна.УТийн янхан намаас хагацъя,0,1
1615,arjina689,@SanchirT141 @M0ng0Iia гүлдийчэээд,0,1
1643,azaa9098,@billy_selina @nbatkhuu78 даанч хулгайч луйварчин бас өрний тулам өтний гэр гэнэ,0,1
1975,tulga64474356,Звезда ТВ-ээр маршал Г.К.Жуковын тухай кино гарч байна. Ямар талаас нь узуулснийг харъя даа,0,1
2030,tulga64474356,"@roukii4589 дүнхү нь явсаар дүнхүү буюу тэнэг, мангар гэдэг үг болж",0,1
2033,tulga64474356,"@Tulga64474356 Дүнхүчүүдийн талаар сайн мэдэх хүн одоо ховор. Гэхдээ Дүнхү гэхээр тэнэг, мангар гэж ойлгодог хүн л олон байна даа",0,1
2052,mbbaagii, pic.twitter.com/pt14Wfp3lC,0,1
2119,demberel_s,"@d_ganbayar buruu populist amlalt.demjix xereggui,companii caashdin uil ajilgaand muu zasaglal talaasaa teneg",1,1
2212,boldooshinee,Batzandan hulgaich nar gadaadad amidarch bn gene unenuu,0,1
2261,mmunkhuu,Тэнэгуудтэй нохорлосон бол тэнэг л хариу уйлдэл таньд ирнэ. Битгий гайхаж бай....,0,1
2274,mmaralaa,Untaad bgaga ch medku.. seruun bgaga ch medku tenegiin..,1,1
2367,badammuugii,"""@zuir_ugs: Хөх харгана шатвал унтрахыг мэдэхгүй
Хөгшин тэнэг хөөрвөл үхэхээ мэдэхгүй  #МАЗҮ""",0,1
2414,demberel_s,"@ariunkhishigG emegtei jirgeechiin noen nuruu dm delgeed xugardag,cangisaa araichdee kk",2,1
2426,shinebayar89,@BilguunIN Yag vnen bid moligoduulaad amaa angaigaal ungurunu .Yostoi enr dugarch bgaa hvmvvsiin hvchind l hulgaich narig tanij bna.Nvd chih,0,1
2574,idergovi,Хулгайч нохойн гөлөг шиг ЭЕЛДЭГ ХАРЦ БАЙГАА ВЭЭЗ pic.twitter.com/l35HcRAmJj,0,1
2704,demberel_s,@amaraamara225 kk chqcganii chin unen ug? Baaxan tenegtexiig chin sonsoj zugaaclaa,0,1
2715,demberel_s,@amaraamara225 notolgoo xuleej tenegteed bgaa zarim xund bi zarimdaa block gedeg beleg ugchixdug um shuu,0,1
2763,tulga64474356,@Zoljargal04 тооцоогоо хийгээч😡😡😡,0,1
2858,demberel_s,@Rentsenkhand8 @Masha6996 @ErdenebulganB tenegiin doodox tuvshniix bolood,0,1
3420,tulga64474356,"@BayarkhuuMut Оджаргал, Баттулга 2 Баянхонгорынхоо жалганд очиж хэрэлдвэл таарна. Улсын биш, 2 балайгийн шунал голлосон хэруулээс залхаж бн",1,1
3778,uyangam,Хуцаа хуц хуц тэнэг авгай 1000 багт...,0,1
3796,demberel_s,@lhagvaa_s @jargal_defacto @batt1972 bas companii xuuli deer ch tdxoi bga,0,1
3797,demberel_s,@lhagvaa_s @jargal_defacto @batt1972 tiim xuvicaa bdg.wikipedia l uzchix,0,1
3888,demberel_s,@Unurtsetsegn xarin tiimee tenegleliin tuil l bxdaa,1,1
3936,cosplaylambda,"Народец, хочу на ВКС, ток я чет мелкий и чот немного руеожопый. А на ВКС (Ворд Караоке Самет) я чет бездарность.",0,1
4188,g_ganbaatar,"@DarmaaM хужаа болгон уруу дайрах неонуудын тэнэг ажил,тусгаар улсад дайсагнасан гадны хэн ч болов монголд биднээс илүү тарвалзах ёсгүй",1,1
4197,burnee0323,@uugantsetsegss teneg hun tengerees ah,0,1
4341,namuna_a,"Тэнэг бай
Өлсгөлөн бай 

гэж Жобс ах хэлсэн бөлгөө",0,1
4516,enjisq,Ийм ухаантай хүмүүс байтлаа тийм тэнэг юм ярьдаг Ганбаатарыг толгой дээрээ залчихсан :-))),0,1
4916,mongolia_daria,@DavK_Ts haha tenegteerei 😜,0,1
4927,alexandreduma1,@zdavaajav ner n yu ym bol?,0,1
4955,viigo1,"Ордоноо тойруулаад бөөн шарилтай,улаан хамгаалагч болоод подкоммунист дэлхийгээс таслагдаад хонио хариулаад явж бвал pic.twitter.com/chNBT1FPhY",0,1
4958,mashaa38,Хэнээс хамааралгүй бх хэсэгхэн тэнэглэл хүртэл жаргал штээ.,4,1
5030,mmaralaa,Ingedeg te ta narrr..? ☺️😛😂 pic.twitter.com/jDOZdAIyjd,0,1
5045,g_ganbaatar,@SuuriT энэ балай юм нүдэнд эвэр ургатал гарч ирэх юмаа,2,1
5197,_gavar_,@fatima_90b барку болоод ирэхээрээ л доромжилдог нь тэнэг эрийн үйлдэл :),2,1
5291,baingabishee,@Yruu_Urihan za tenegteerei;)),1,1
5385,bayaramc,@Naranbaatarl @Uyanga_ts @Batnyagt1 @OtgonbayarT @_uJ Төрийн өмч хэзээ ч ашигтай ажиллахгүй.,2,1
5400,bayasdari,@ist111110 хүүш л дээ тэгээд Далай ламын аккуантыг меншдээч. Өчүүхэн би вээр элэнцгээ мэддийн.,0,1
5402,bayasdari,@ist111110 шүтнэ гэхээр яг яадын. Би сонирхоод бгаа юм,0,1
